job,years,education,salary,company,scale,job_url
Python开发工程师,3-5年,大专,11500,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126265132.htm
Python软件设计（五险）,不限,中专,3750,上海曳惬网络科技有限公司,100-499人,http://jobs.zhaopin.com/533503832250969.htm
自动化测试工程师(selenium+Python/java),3-5年,本科,17000,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126256524.htm
Python脚本（实习）,1年以下,中专,3750,上海曳惬网络科技有限公司,100-499人,http://jobs.zhaopin.com/533503832250975.htm
Python技术主管,3-5年,本科,17500,上海甦翔投资咨询有限公司 - 研发中心,100-499人,http://jobs.zhaopin.com/389004982250227.htm
Python开发工程师（甲方偏前端）.,3-5年,本科,17500,上海众龙实业有限公司,20-99人,http://jobs.zhaopin.com/598944425250640.htm
python工程师,1-3年,本科,12500,上海海同信息科技有限公司,100-499人,http://jobs.zhaopin.com/204181313256437.htm
Python开发工程师,3-5年,大专,15000,上海驻云信息科技有限公司,100-499人,http://jobs.zhaopin.com/646930424250264.htm
Python后端开发工程师J11224,1-3年,本科,17500,沪江教育科技(上海)股份有限公司,1000-9999人,http://jobs.zhaopin.com/309179517258282.htm
Python 开发工程师,不限,本科,9750,百硕同兴科技(北京)有限公司,100-499人,http://jobs.zhaopin.com/138631108250298.htm
Python开发,3-5年,大专,17500,深圳市博奥特科技有限公司,100-499人,http://jobs.zhaopin.com/298487217250758.htm
Python开发（偏前端）,3-5年,本科,17500,上海众龙实业有限公司,20-99人,http://jobs.zhaopin.com/598944425250634.htm
Python开发工程师,1-3年,本科,7000,中控智慧科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/164354115251236.htm
资深架构师,不限,不限,21000,PPmoney万惠集团,1000-9999人,http://jobs.zhaopin.com/571603428251528.htm
初级研发工程师（风控方向）J12156,1-3年,本科,12500,易鑫集团,1000-9999人,http://jobs.zhaopin.com/688310727255901.htm
应用运维工程师（外派银联）,1-3年,本科,11000,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126264267.htm
功能测试工程师,1-3年,本科,11000,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/CC508620126J00100487905.htm
高级研发工程师（风控方向）J12141,不限,不限,17500,易鑫集团,1000-9999人,http://jobs.zhaopin.com/688310727255854.htm
Java开发工程师(z),3-5年,大专,15000,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126264189.htm
大数据开发工程师,1-3年,本科,10000,武汉纬创纬尊软件有限公司,500-999人,http://jobs.zhaopin.com/474787215250565.htm
信息安全工程师(渗透测试),1-3年,本科,17500,上海银科创展投资集团有限公司,1000-9999人,http://jobs.zhaopin.com/434217314261078.htm
高级系统运维工程师,不限,本科,24000,上海银科创展投资集团有限公司,1000-9999人,http://jobs.zhaopin.com/434217314261160.htm
高级信息安全师,不限,本科,19000,上海银科创展投资集团有限公司,1000-9999人,http://jobs.zhaopin.com/434217314261161.htm
高级运维开发工程师,不限,本科,24000,上海银科创展投资集团有限公司,1000-9999人,http://jobs.zhaopin.com/434217314261159.htm
软件测试工程师（z）,3-5年,本科,11000,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126265218.htm
Ansible技术专家,5-10年,不限,17500,北京神州新桥科技有限公司,500-999人,http://jobs.zhaopin.com/120101090253057.htm
软件测试工程师,1-3年,大专,9000,浪潮集团有限公司,10000人以上,http://jobs.zhaopin.com/120143601288439.htm
BI Product Owner,3-5年,本科,25000,华尔街英语培训中心,1000-9999人,http://jobs.zhaopin.com/156527024263682.htm
生物信息学技术主管,1-3年,硕士,14000,微基生物科技(上海)有限公司,20-99人,http://jobs.zhaopin.com/238228281250067.htm
应用运维工程师,1-3年,大专,9000,上海美特斯邦威服饰股份有限公司,1000-9999人,http://jobs.zhaopin.com/CC000612162J00159406001.htm
数据产品工程师,1-3年,本科,0,平安国际融资租赁有限公司,100-499人,http://jobs.zhaopin.com/362140513255989.htm
软件测试工程师,不限,本科,10000,杭州海康威视数字技术股份有限公司,10000人以上,http://jobs.zhaopin.com/120975588261169.htm
用户运营,3-5年,大专,12500,上海河姆渡实业发展有限公司,100-499人,http://jobs.zhaopin.com/268365188250616.htm
资深PHP工程师,5-10年,大专,25000,上海连尚网络科技有限公司,100-499人,http://jobs.zhaopin.com/CC602883425J00102970107.htm
前端开发工程师,不限,不限,15000,上海河姆渡实业发展有限公司,100-499人,http://jobs.zhaopin.com/268365188250612.htm
风控建模专家（供应链金融）,3-5年,本科,20000,上海河姆渡实业发展有限公司,100-499人,http://jobs.zhaopin.com/268365188250716.htm
大数据开发工程师,1-3年,本科,10500,纬创软件(北京)有限公司,100-499人,http://jobs.zhaopin.com/CC120817715J00045477411.htm
java开发（大数据方向）,3-5年,本科,15000,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126265348.htm
资深运维工程师,不限,不限,20000,上海米么金融信息服务有限公司,500-999人,http://jobs.zhaopin.com/668372926251138.htm
测试经理,5-10年,本科,25000,上海连尚网络科技有限公司,100-499人,http://jobs.zhaopin.com/CC602883425J00102085707.htm
DevOPS技术经理,5-10年,本科,40000,招商银行股份有限公司,10000人以上,http://jobs.zhaopin.com/000103360256678.htm
系统管理员,3-5年,本科,25000,招商银行股份有限公司,10000人以上,http://jobs.zhaopin.com/000103360254141.htm
高级爬虫工程师,3-5年,大专,20000,上海门迪智能科技有限公司,20-99人,http://jobs.zhaopin.com/422870787250003.htm
机器学习算法工程师,1-3年,本科,25000,上海好居信息科技有限公司,500-999人,http://jobs.zhaopin.com/685897627250670.htm
linux运维开发工程师,不限,不限,12500,华青融天(北京)技术股份有限公司,100-499人,http://jobs.zhaopin.com/170279519250537.htm
Java开发工程师,3-5年,本科,11500,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126264553.htm
