job,years,education,salary,company,scale,job_url
Python开发工程师,3-5年,大专,0,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126265132.htm
Python开发工程师（甲方偏前端）.,3-5年,本科,17500,上海众龙实业有限公司,20-99人,http://jobs.zhaopin.com/598944425250640.htm
Python开发工程师,3-5年,大专,15000,上海驻云信息科技有限公司,100-499人,http://jobs.zhaopin.com/646930424250264.htm
Python 开发工程师,不限,本科,9750,百硕同兴科技(北京)有限公司,100-499人,http://jobs.zhaopin.com/138631108250298.htm
Python后端开发工程师J11224,1-3年,本科,17500,沪江教育科技(上海)股份有限公司,1000-9999人,http://jobs.zhaopin.com/309179517258282.htm
Python开发,3-5年,大专,17500,深圳市博奥特科技有限公司,100-499人,http://jobs.zhaopin.com/298487217250758.htm
Python开发（偏前端）,3-5年,本科,17500,上海众龙实业有限公司,20-99人,http://jobs.zhaopin.com/598944425250634.htm
Python开发工程师,1-3年,本科,7000,中控智慧科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/164354115251236.htm
自动化测试工程师(selenium+Python/java),3-5年,本科,0,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126256524.htm
高级开发工程师（第三方数据平台）,3-5年,本科,17000,北京神州新桥科技有限公司,500-999人,http://jobs.zhaopin.com/120101090252996.htm
自动化测试工程师（技术开发室）,1-3年,本科,12500,中国大地财产保险股份有限公司,10000人以上,http://jobs.zhaopin.com/145756075252326.htm
python工程师,1-3年,本科,12500,上海海同信息科技有限公司,100-499人,http://jobs.zhaopin.com/204181313256437.htm
电源开发工程师,不限,本科,0,中软国际科技服务有限公司,10000人以上,http://jobs.zhaopin.com/508620126263823.htm
初级开发工程师,不限,本科,6500,链石(上海)信息科技有限公司,20人以下,http://jobs.zhaopin.com/484144538250000.htm
BI开发工程师,3-5年,本科,12500,深圳前海橙色魔方信息技术有限公司,100-499人,http://jobs.zhaopin.com/387663788250112.htm
高级运维开发工程师,3-5年,本科,17500,上海驻云信息科技有限公司,100-499人,http://jobs.zhaopin.com/CC646930424J00094382903.htm
高级java开发工程师,3-5年,本科,20000,苏州博纳讯动软件有限公司,100-499人,http://jobs.zhaopin.com/581369222250239.htm
初中级JAVA开发工程师,1-3年,本科,11500,上海捷科智诚科技有限公司,1000-9999人,http://jobs.zhaopin.com/662620721250065.htm
JAVA开发工程师（信息安全）,不限,不限,14750,深圳市拓保软件有限公司上海分公司,500-999人,http://jobs.zhaopin.com/478870119250119.htm
IOS app开发,不限,不限,17500,北京中亿华云科技有限公司,500-999人,http://jobs.zhaopin.com/606065420250594.htm
Server开发工程师,3-5年,本科,11000,上海企顺信息系统有限公司,100-499人,http://jobs.zhaopin.com/CC120505972J00070161606.htm
数据库开发工程师（项目管理方向）,3-5年,大专,15000,福建新意科技有限公司,500-999人,http://jobs.zhaopin.com/120072236251566.htm
初级研发工程师（风控方向）J12156,1-3年,本科,12500,易鑫集团,1000-9999人,http://jobs.zhaopin.com/688310727255901.htm
开发实习生,不限,本科,4750,上海基分文化传播有限公司,1000-9999人,http://jobs.zhaopin.com/CC459768622J00110761507.htm
