job,website,company,salary
Python开发工程师,http://company.zhaopin.com/CC277939137.htm,纳米盒,15000-25000
Java/Python/Hadoop高级软件研发工程师,http://company.zhaopin.com/CC429613911.htm,上海数策软件股份有限公司,15000-25000
Python工程师,http://company.zhaopin.com/CC399612635.htm,上海集钢电子商务有限公司,6000-8000
初级python开发工程师,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Python工程师,http://company.zhaopin.com/CC562244523.htm,上海怡科信息科技有限公司,6000-8000
Python web开发工程师,http://company.zhaopin.com/CZ143884350.htm,上海晏鼠计算机技术有限公司,8001-10000
中/高级 Python 人工智能研发工程师,http://special.zhaopin.com/sh/2013/htxx071671,上海海同信息科技有限公司,15000-30000
python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E6%99%BA%E5%92%8C%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC198948820.htm,上海智和信息技术有限公司,10001-15000
python工程师,http://company.zhaopin.com/CC202634680.htm,上海壤歌市场营销策划有限公司,15000-25000
Python Web 开发工程师(上海),http://company.zhaopin.com/CC483984531.htm,乐荐信息科技（北京）有限公司,15001-20000
JAVA/PHP/PYTHON开发工程师,http://company.zhaopin.com/CC512306021.htm,上海磐途网络科技有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC203630516.htm,上海易路软件有限公司,15001-20000
python开发工程师,http://company.zhaopin.com/CC319832035.htm,弘则弥道(上海)投资咨询有限公司,10000-20000
初级 Python开发工程师 （浦东世纪大道）,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
运维工程师偏python,http://company.zhaopin.com/CC390088739.htm,上海金佳文化传媒有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/P2/CC1677/0911/CC167709119.htm,上海华浪计算机科技有限公司,8001-10000
Python/Odoo高级开发工程师,http://company.zhaopin.com/P8/CC1377/7137/CC137771372.htm,上海企通软件有限公司,10000-20000
后端Python高级开发工程师,http://company.zhaopin.com/CC389004982.htm,上海甦翔投资咨询有限公司,15000-25000
Python工程师,http://company.zhaopin.com/CC601450626.htm,上海大岂网络科技有限公司,8000-15000
Python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BC%AF%E4%BF%8A%E8%BD%AF%E4%BB%B6%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC176902317.htm,上海伯俊软件科技有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC646930424.htm,上海驻云信息科技有限公司,12000-18000
python工程师,http://company.zhaopin.com/CC268009338.htm,上海享途网络科技有限公司,10001-15000
Python工程师,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,2001-4000
python自然语言处理工程师,http://company.zhaopin.com/P2/CC3689/1831/CC368918312.htm,车音智能科技有限公司北京分公司,10000-20000
Python工程师,http://company.zhaopin.com/CC413814238.htm,上海怡胜信息科技有限公司,6000-8000
python工程师（上海）,http://company.zhaopin.com/CZ897833860.htm,深圳市源极光科技有限公司,10001-15000
Python工程师,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,2001-4000
Python开发工程师,http://company.zhaopin.com/CC424188188.htm,大连斯锐信息技术有限公司,10001-15000
高级Python工程师,http://company.zhaopin.com/CC288240581.htm,智慧芽信息科技(苏州)有限公司上海分公司,15001-20000
